Name,Edition,Count,Condition,Rarity,Buy List Amount,Retail Amount,#N/A,#N/A,,Trade In:,#N/A
Sunbringer's Touch,Dragons of Tarkir,25,Near Mint,Rare,$.050,$0.30,$1.250,$7.50,,,
Sundial of the Infinite,Magic 2012,1,Near Mint,Rare,$.050,$0.55,$.050,$0.55,,,
Sunglasses of Urza,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Sunken City,Fourth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Sunken City,The Dark,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Sunken Hollow,Battle for Zendikar,32,Near Mint,Rare,$.750,$2.50,$24.000,$80.00,,,
Sunken Hope,Planeshift,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Sunken Ruins,Shadowmoor,2,Near Mint,Rare,$8.250,$16.25,$16.500,$32.50,,,
Sunpetal Grove,Magic 2013,1,Near Mint,Rare,$.500,$2.25,$.500,$2.25,,,
Sunscape Apprentice,Invasion,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Sunscape Battlemage,Planeshift,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Sunscape Familiar,Planeshift,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Sunscape Master,Invasion,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Sunscorch Regent,Dragons of Tarkir,25,Near Mint,Rare,$.050,$0.65,$1.250,$16.25,,,
Supplant Form,Fate Reforged,34,Near Mint,Rare,$.050,$0.30,$1.700,$10.20,,,
Suppress,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Supreme Verdict,Return to Ravnica,27,Near Mint,Rare,$3.000,$6.00,$81.000,$162.00,,,
Suq'Ata Assassin,Visions,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Suq'Ata Lancer,Visions,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Surgical Extraction,New Phyrexia,1,Near Mint,Rare,$3.500,$6.75,$3.500,$6.75,,,
Surprise Deployment,Planeshift,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Surrak Dragonclaw,Khans of Tarkir,33,Near Mint,MythicRare,$.250,$0.99,$8.250,$32.67,,,
"Surrak, the Hunt Caller",Dragons of Tarkir,29,Near Mint,Rare,$.050,$0.55,$1.450,$15.95,,,
Sustainer of the Realm,Urza's Legacy,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Sustenance,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Sutured Ghoul,Magic 2012,8,Near Mint,Rare,$.050,$0.30,$.400,$2.40,,,
Svyelunite Priest,Fallen Empires,5,Near Mint,Uncommon,$.003,$0.15,$.015,$0.75,,,
Svyelunite Temple,Fallen Empires,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Swamp,Unhinged,1,Near Mint,BasicLand,#N/A,$0.00,#N/A,$0.00,,,
Swamp Mosquito,Alliances,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Swamp Mosquito,Alliances,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Swan Song,Theros,88,Near Mint,Rare,$.100,$1.25,$8.800,$110.00,,,
Swat,Urza's Legacy,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Sway of Illusion,Invasion,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Sword Dancer,Prophecy,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Sword of the Animist,Magic Origins,14,Near Mint,Rare,$.500,$2.00,$7.000,$28.00,,,
Sword of the Meek,Future Sight,2,Near Mint,Uncommon,$5.000,$10.75,$10.000,$21.50,,,
Sword of the Meek,Future Sight,3,Near Mint,Uncommon,$5.500,$10.21,$16.500,$30.64,,,
Swords to Plowshares,Revised Edition,1,Near Mint,Uncommon,$.750,$2.50,$.750,$2.50,,,
Swords to Plowshares,Ice Age,1,Near Mint,Uncommon,$.750,$2.75,$.750,$2.75,,,
Sylvan Advocate,Oath of the Gatewatch,1,Near Mint,Rare,$3.500,$6.88,$3.500,$6.88,,,
Sylvan Advocate,Oath of the Gatewatch,5,Near Mint,Rare,$2.750,$5.50,$13.750,$27.50,,,
Sylvan Caryatid,Theros,10,Near Mint,Rare,$.500,$2.00,$5.000,$20.00,,,
Sylvan Library,Fifth Edition,2,Near Mint,Rare,$12.500,$20.75,$25.000,$41.50,,,
Sylvan Library,Eternal Masters,3,Near Mint,Rare,$9.000,$18.00,$27.000,$54.00,,,
Sylvan Messenger,Apocalypse,7,Near Mint,Uncommon,$.003,$0.50,$.021,$3.50,,,
Sylvan Primordial,Gatecrash,25,Near Mint,Rare,$.050,$0.55,$1.250,$13.75,,,
Symbiosis,Urza's Saga,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Syphon Sliver,Magic 2014 Core Set,1,Near Mint,Rare,$.500,$2.25,$.500,$2.25,,,
Syphon Soul,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Syphon Soul,Legends,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Tablet of Epityr,Antiquities,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
"Tahngarth, Talruum Hero",Planeshift,2,Near Mint,Common,$.003,$0.65,$.006,$1.30,,,
Tahngarth's Glare,Apocalypse,4,Near Mint,Rare,$.050,$0.10,$.200,$0.40,,,
Taiga,Revised Edition,1,Near Mint,Rare,$48.500,$80.94,$48.500,$80.94,,,
Taiga,Revised Edition,3,Good (Lightly Played),Rare,$52.500,$87.50,$157.500,$262.50,,,
Tainted Remedy,Magic Origins,15,Near Mint,Rare,$.050,$0.90,$.750,$13.50,,,
Tainted Well,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
"Tajic, Blade of the Legion",Dragon's Maze,17,Near Mint,Rare,$.050,$0.75,$.850,$12.75,,,
Talent of the Telepath,Magic Origins,29,Near Mint,Rare,$.050,$0.55,$1.450,$15.95,,,
"Talrand, Sky Summoner",Magic 2013,4,Near Mint,Rare,$.100,$1.25,$.400,$5.00,,,
Talruum Champion,Visions,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Talruum Minotaur,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Talruum Piper,Visions,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
"Tamiyo, the Moon Sage",Avacyn Restored,1,Near Mint,Rare,$9.000,$18.04,$9.000,$18.04,,,
"Tamiyo, the Moon Sage",Avacyn Restored,1,Good (Lightly Played),MythicRare,$9.750,$19.50,$9.750,$19.50,,,
"Tamiyo, the Moon Sage",Avacyn Restored,2,Near Mint,MythicRare,$13.500,$22.43,$27.000,$44.85,,,
Tamiyo's Journal,Shadows over Innistrad,9,Near Mint,MythicRare,$.250,$0.65,$2.250,$5.85,,,
Tangle,Invasion,2,Near Mint,Uncommon,$.500,$2.00,$1.000,$4.00,,,
Tangle Kelp,The Dark,1,Good (Lightly Played),Uncommon,$.003,$0.15,$.003,$0.15,,,
Tangle Kelp,The Dark,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Tangle Wire,Nemesis,2,Near Mint,Rare,$1.000,$4.25,$2.000,$8.50,,,
Tarmogoyf,Modern Masters,1,Near Mint,Rare,$81.000,$275.00,$81.000,$275.00,,,
Tarmogoyf,Future Sight,1,Near Mint,MythicRare,$98.500,$164.25,$98.500,$164.25,,,
Tarmogoyf,Modern Masters 2015 Edition,2,Near Mint,MythicRare,$192.500,$135.00,$385.000,$270.00,,,
Tarpan,Ice Age,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
"Tasigur, the Golden Fang",Fate Reforged,41,Near Mint,Rare,$.750,$2.75,$30.750,$112.75,,,
Task Force,Mercadian Masques,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Task Mage Assembly,Prophecy,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Tawnos's Weaponry,Antiquities,1,Poor,Uncommon,$.003,$0.25,$.003,$0.25,,,
Tectonic Break,Mercadian Masques,1,Near Mint,Rare,$.050,$0.45,$.050,$0.45,,,
Tectonic Instability,Invasion,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
"Teferi, Mage of Zhalfir",Time Spiral,1,Near Mint,Uncommon,$7.000,$13.75,$7.000,$13.75,,,
Teferi's Care,Invasion,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Teferi's Curse,Mirage,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Teferi's Drake,Mirage,2,Near Mint,Rare,$.050,$0.10,$.100,$0.20,,,
Teferi's Isle,Mirage,2,Near Mint,Rare,$.050,$0.90,$.100,$1.80,,,
Teferi's Puzzle Box,Visions,3,Near Mint,Rare,$.750,$2.75,$2.250,$8.25,,,
Teferi's Response,Invasion,1,Near Mint,Rare,$.050,$0.90,$.050,$0.90,,,
Teleport,Chronicles,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Tempered Steel,Scars of Mirrodin,9,Near Mint,Rare,$.100,$1.50,$.900,$13.50,,,
Tempest Drake,Visions,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Temple of Abandon,Theros,28,Near Mint,Rare,$.050,$0.75,$1.400,$21.00,,,
Temple of Deceit,Theros,21,Near Mint,Rare,$.100,$1.75,$2.100,$36.75,,,
Temple of Enlightenment,Born of the Gods,16,Near Mint,Rare,$.500,$2.25,$8.000,$36.00,,,
Temple of Epiphany,Journey into Nyx,9,Near Mint,Rare,$.750,$3.00,$6.750,$27.00,,,
Temple of Malady,Journey into Nyx,20,Near Mint,Rare,$.500,$2.00,$10.000,$40.00,,,
Temple of Malice,Born of the Gods,8,Near Mint,Rare,$.100,$1.75,$.800,$14.00,,,
Temple of Mystery,Theros,26,Near Mint,Rare,$.100,$1.00,$2.600,$26.00,,,
Temple of Plenty,Born of the Gods,4,Near Mint,Rare,$.100,$1.75,$.400,$7.00,,,
Temple of Silence,Theros,33,Near Mint,Rare,$.100,$1.50,$3.300,$49.50,,,
Temple of Triumph,Theros,23,Near Mint,Rare,$.050,$0.90,$1.150,$20.70,,,
Temporal Distortion,Invasion,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Temporal Spring,Apocalypse,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Temporal Trespass,Fate Reforged,23,Near Mint,MythicRare,$.250,$1.50,$5.750,$34.50,,,
Temur Ascendancy,Khans of Tarkir,64,Near Mint,Rare,$.050,$0.30,$3.200,$19.20,,,
Temur War Shaman,Fate Reforged,29,Near Mint,Rare,$.050,$0.30,$1.450,$8.70,,,
Tendo Ice Bridge,Betrayers of Kamigawa,1,Good (Lightly Played),Rare,$5.750,$11.33,$5.750,$11.33,,,
Teremko Griffin,Mirage,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Terminal Moraine,Planeshift,3,Near Mint,Uncommon,$.003,$0.15,$.009,$0.45,,,
Terminate,Planeshift,6,Near Mint,Common,$.250,$2.75,$1.500,$16.50,,,
Terminus,Avacyn Restored,14,Near Mint,Rare,$.750,$3.25,$10.500,$45.50,,,
Terra Stomper,Magic 2015 Core Set,5,Near Mint,Rare,$.050,$0.55,$.250,$2.75,,,
Terra Stomper,Magic Origins,8,Near Mint,Rare,$.050,$0.65,$.400,$5.20,,,
Terrain Generator,Nemesis,10,Near Mint,Uncommon,$.500,$2.00,$5.000,$20.00,,,
Territorial Dispute,Mercadian Masques,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Terror,Fourth Edition,1,Good (Lightly Played),Common,$.003,$0.15,$.003,$0.15,,,
Terror,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Terror,Revised Edition,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Tetravus,Antiquities,1,Good (Lightly Played),Rare,$9.500,$18.96,$9.500,$18.96,,,
"Teysa, Envoy of Ghosts",Dragon's Maze,41,Near Mint,Rare,$.050,$0.30,$2.050,$12.30,,,
"Tezzeret, Agent of Bolas",Mirrodin Besieged,1,Near Mint,MythicRare,$13.750,$24.25,$13.750,$24.25,,,
"Tezzeret, Agent of Bolas",Mirrodin Besieged,1,Near Mint,MythicRare,$14.500,$23.04,$14.500,$23.04,,,
Thalakos Scout,Exodus,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
"Thalia, Guardian of Thraben",Dark Ascension,7,Near Mint,Rare,$4.500,$9.00,$31.500,$63.00,,,
Thalia's Lieutenant,Shadows over Innistrad,9,Near Mint,Rare,$1.000,$3.50,$9.000,$31.50,,,
Thallid,Fallen Empires,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Thallid,Fallen Empires,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Thallid,Fallen Empires,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Thallid,Fallen Empires,7,Near Mint,Common,$.003,$0.15,$.021,$1.05,,,
Thallid Devourer,Fallen Empires,10,Near Mint,Uncommon,$.003,$0.25,$.030,$2.50,,,
"Thassa, God of the Sea",Theros,8,Near Mint,MythicRare,$3.000,$5.75,$24.000,$46.00,,,
The Chain Veil,Magic 2015 Core Set,4,Near Mint,MythicRare,$.250,$1.75,$1.000,$7.00,,,
The Fallen,The Dark,1,Good (Lightly Played),Uncommon,$.003,$0.15,$.003,$0.15,,,
The Fallen,The Dark,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
The Gitrog Monster,Shadows over Innistrad,21,Near Mint,MythicRare,$.750,$3.25,$15.750,$68.25,,,
The Great Aurora,Magic Origins,15,Near Mint,MythicRare,$.250,$1.75,$3.750,$26.25,,,
The Rack,Revised Edition,2,Near Mint,Uncommon,$.500,$2.25,$1.000,$4.50,,,
The Tabernacle at Pendrell Vale,Legends,1,Good (Lightly Played),Rare,$841.750,"$1,202.50",$841.750,"$1,202.50",,,
Theft of Dreams,Exodus,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Thelon's Chant,Fallen Empires,8,Near Mint,Uncommon,$.003,$0.15,$.024,$1.20,,,
Thelon's Curse,Fallen Empires,3,Near Mint,Rare,$.050,$0.30,$.150,$0.90,,,
Thelonite Druid,Fallen Empires,8,Near Mint,Uncommon,$.003,$0.15,$.024,$1.20,,,
Thelonite Monk,Fallen Empires,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Thermal Glider,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Thespian's Stage,Gatecrash,6,Near Mint,Rare,$.750,$2.75,$4.500,$16.50,,,
Thicket Basilisk,Unlimited Edition,1,Near Mint,Uncommon,$.003,$0.35,$.003,$0.35,,,
Thicket Basilisk,Revised Edition,5,Near Mint,Uncommon,$.003,$0.15,$.015,$0.75,,,
Thing in the Ice,Shadows over Innistrad,6,Near Mint,Rare,$1.250,$4.50,$7.500,$27.00,,,
Thirst,Mirage,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Thopter Assembly,Mirrodin Besieged,15,Near Mint,Rare,$.050,$0.55,$.750,$8.25,,,
Thopter Spy Network,Magic Origins,26,Near Mint,Rare,$.050,$0.90,$1.300,$23.40,,,
Thorn of Amethyst,Lorwyn,2,Near Mint,Rare,$8.250,$16.50,$16.500,$33.00,,,
Thorn Thallid,Fallen Empires,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Thorn Thallid,Fallen Empires,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Thorn Thallid,Fallen Empires,7,Near Mint,Common,$.003,$0.15,$.021,$1.05,,,
Thorn Thallid,Fallen Empires,9,Near Mint,Common,$.003,$0.15,$.027,$1.35,,,
Thorncaster Sliver,Magic 2014 Core Set,3,Near Mint,Rare,$.050,$0.65,$.150,$1.95,,,
Thornscape Apprentice,Invasion,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Thornscape Battlemage,Planeshift,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Thornscape Familiar,Planeshift,8,Near Mint,Common,$.003,$0.15,$.024,$1.20,,,
Thornscape Master,Invasion,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Thornwind Faeries,Urza's Legacy,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Thought-Knot Seer,Oath of the Gatewatch,12,Near Mint,Rare,$3.250,$6.50,$39.000,$78.00,,,
Thoughtlace,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Thoughtseize,Theros,4,Near Mint,Rare,$7.250,$14.25,$29.000,$57.00,,,
Thousand Winds,Khans of Tarkir,39,Near Mint,Rare,$.050,$0.30,$1.950,$11.70,,,
Thraben Doomsayer,Dark Ascension,1,Near Mint,Rare,$.050,$0.90,$.050,$0.90,,,
Thran Quarry,Urza's Saga,1,Near Mint,Rare,$.500,$2.25,$.500,$2.25,,,
Thran Turbine,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.25,$.003,$0.25,,,
Thran War Machine,Urza's Legacy,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Threads of Disloyalty,Betrayers of Kamigawa,1,Good (Lightly Played),Rare,$5.000,$9.02,$5.000,$9.02,,,
Threads of Disloyalty,Betrayers of Kamigawa,3,Near Mint,Rare,$4.500,$9.75,$13.500,$29.25,,,
Thresher Beast,Prophecy,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Thrive,Prophecy,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Throne of Bone,Revised Edition,1,Good (Lightly Played),Uncommon,$.003,$0.15,$.003,$0.15,,,
Throne of Empires,Magic 2012,8,Near Mint,Rare,$.050,$0.30,$.400,$2.40,,,
Thrull Champion,Fallen Empires,4,Near Mint,Rare,$.050,$0.30,$.200,$1.20,,,
Thrull Retainer,Fallen Empires,6,Near Mint,Uncommon,$.003,$0.15,$.018,$0.90,,,
Thrull Surgeon,Exodus,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Thrull Wizard,Fallen Empires,5,Near Mint,Uncommon,$.003,$0.15,$.015,$0.75,,,
Thunderbreak Regent,Dragons of Tarkir,29,Near Mint,Rare,$.100,$1.75,$2.900,$50.75,,,
Thunderclap,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Thundering Giant,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Thunderscape Apprentice,Invasion,5,Near Mint,Common,$.003,$0.10,$.015,$0.50,,,
Thunderscape Battlemage,Planeshift,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Thunderscape Familiar,Planeshift,8,Near Mint,Common,$.003,$0.15,$.024,$1.20,,,
Thwart,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.85,$.003,$0.85,,,
Ticking Gnomes,Urza's Legacy,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Tidal Bore,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Tidal Courier,Apocalypse,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Tidal Flats,Fallen Empires,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Tidal Flats,Fallen Empires,6,Near Mint,Common,$.003,$0.15,$.018,$0.90,,,
Tidal Flats,Fallen Empires,7,Near Mint,Common,$.003,$0.15,$.021,$1.05,,,
Tidal Influence,Fallen Empires,7,Near Mint,Uncommon,$.003,$0.15,$.021,$1.05,,,
Tidal Surge,Classic Sixth Edition,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Tidal Surge,Stronghold,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Tidal Visionary,Invasion,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Tidal Warrior,Stronghold,2,Near Mint,Common,$.003,$0.15,$.006,$0.30,,,
Tidal Wave,Mirage,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Tidebinder Mage,Magic 2014 Core Set,27,Near Mint,Rare,$.050,$0.90,$1.350,$24.30,,,
Tiger Claws,Mercadian Masques,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Tigereye Cameo,Invasion,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Timber Wolves,Revised Edition,1,Near Mint,Rare,$.050,$0.30,$.050,$0.30,,,
Timberline Ridge,Ice Age,2,Near Mint,Rare,$.050,$0.30,$.100,$0.60,,,
Time Elemental,Legends,1,Near Mint,Rare,$8.750,$17.25,$8.750,$17.25,,,
Time Reversal,Magic 2012,9,Near Mint,MythicRare,$.250,$0.99,$2.250,$8.91,,,
Time Warp,Magic 2010,1,Near Mint,MythicRare,$9.000,$18.00,$9.000,$18.00,,,
Timetwister,Unlimited Edition,1,Played,Rare,$500.000,$714.43,$500.000,$714.43,,,
Timid Drake,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Tin-Wing Chimera,Visions,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Tinder Farm,Invasion,8,Near Mint,Common,$.003,$0.15,$.024,$1.20,,,
Tinder Wall,Ice Age,3,Near Mint,Common,$.003,$0.25,$.009,$0.75,,,
Tireless Tracker,Shadows over Innistrad,3,Near Mint,Rare,$2.500,$5.00,$7.500,$15.00,,,
Titan Forge,Mirrodin Besieged,10,Near Mint,Rare,$.050,$0.65,$.500,$6.50,,,
Titan of Eternal Fire,Theros,49,Near Mint,Rare,$.050,$0.15,$2.450,$7.35,,,
Titania's Boon,Urza's Saga,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Titania's Song,Revised Edition,1,Near Mint,Uncommon,$.003,$0.30,$.003,$0.30,,,
Titania's Song,Antiquities,3,Near Mint,Rare,$.050,$0.50,$.150,$1.50,,,
Tivadar's Crusade,The Dark,3,Near Mint,Uncommon,$.003,$0.50,$.009,$1.50,,,
To the Slaughter,Shadows over Innistrad,12,Near Mint,Rare,$.050,$0.75,$.600,$9.00,,,
Tolaria,Legends,1,Near Mint,Uncommon,$.003,$0.50,$.003,$0.50,,,
Tolaria,Legends,1,Played,Uncommon,$.003,$0.50,$.003,$0.50,,,
Tolaria,Legends,1,Good (Lightly Played),Uncommon,$.003,$0.50,$.003,$0.50,,,
Tolarian Academy,Urza's Saga,1,Near Mint,Rare,$26.500,$44.00,$26.500,$44.00,,,
Tolarian Drake,Weatherlight,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Tolarian Emissary,Invasion,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
Tolarian Winds,Urza's Saga,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Tonic Peddler,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Tooth and Nail,Mirrodin,1,Near Mint,Rare,$13.250,$22.00,$13.250,$22.00,,,
Topple,Nemesis,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Tor Giant,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Torment,Stronghold,3,Near Mint,Common,$.003,$0.15,$.009,$0.45,,,
Tormod's Crypt,The Dark,1,Near Mint,Common,$.003,$1.62,$.003,$1.62,,,
Tormod's Crypt,The Dark,1,Played,Uncommon,$.250,$1.75,$.250,$1.75,,,
Tormod's Crypt,Chronicles,1,Good (Lightly Played),Uncommon,$.250,$0.25,$.250,$0.25,,,
Tormod's Crypt,The Dark,1,Near Mint,Uncommon,$.250,$1.49,$.250,$1.49,,,
Torpor Orb,New Phyrexia,4,Near Mint,Rare,$1.000,$3.50,$4.000,$14.00,,,
Torrent Elemental,Fate Reforged,11,Near Mint,MythicRare,$.250,$0.99,$2.750,$10.89,,,
Torture,Homelands,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Torture,Homelands,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Tortured Existence,Stronghold,1,Near Mint,Common,$.003,$0.25,$.003,$0.25,,,
Touch of Death,Ice Age,1,Near Mint,Common,$.003,$0.10,$.003,$0.10,,,
Touch of the Eternal,Magic 2013,32,Near Mint,Rare,$.050,$0.30,$1.600,$9.60,,,
Touch of Vitae,Ice Age,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Tourach's Chant,Fallen Empires,9,Near Mint,Uncommon,$.003,$0.15,$.027,$1.35,,,
Tourach's Gate,Fallen Empires,5,Near Mint,Rare,$.050,$0.30,$.250,$1.50,,,
Tower Drake,Invasion,4,Near Mint,Common,$.003,$0.10,$.012,$0.40,,,
Tower of Calamities,Scars of Mirrodin,10,Near Mint,Rare,$.050,$0.30,$.500,$3.00,,,
Tower of Coireall,The Dark,4,Near Mint,Uncommon,$.003,$0.15,$.012,$0.60,,,
Tower of the Magistrate,Mercadian Masques,2,Near Mint,Rare,$.750,$2.75,$1.500,$5.50,,,
Toymaker,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Tracker,The Dark,1,Good (Lightly Played),Rare,$.050,$0.65,$.050,$0.65,,,
Trade Routes,Mercadian Masques,1,Near Mint,Rare,$.050,$0.45,$.050,$0.45,,,
Trading Post,Magic 2014 Core Set,16,Near Mint,Rare,$.050,$0.30,$.800,$4.80,,,
Trading Post,Magic 2013,32,Near Mint,Rare,$.050,$0.30,$1.600,$9.60,,,
Tragic Arrogance,Magic Origins,22,Near Mint,Rare,$.050,$0.90,$1.100,$19.80,,,
Tragic Poet,Urza's Legacy,1,Near Mint,Common,$.003,$0.15,$.003,$0.15,,,
Trail of Mystery,Khans of Tarkir,30,Near Mint,Rare,$.050,$0.30,$1.500,$9.00,,,
Trait Doctoring,Dragon's Maze,45,Near Mint,Rare,$.050,$0.30,$2.250,$13.50,,,
Tranquil Domain,Mirage,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Tranquil Path,Apocalypse,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Tranquility,Mercadian Masques,2,Near Mint,Common,$.003,$0.10,$.006,$0.20,,,
Tranquility,Revised Edition,3,Near Mint,Common,$.003,$0.10,$.009,$0.30,,,
Tranquility,Invasion,5,Near Mint,Common,$.003,$0.15,$.015,$0.75,,,
Transmogrifying Licid,Exodus,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Transmutation,Legends,1,Played,Common,$.003,$0.15,$.003,$0.15,,,
Transmute Artifact,Antiquities,2,Played,Uncommon,$26.250,$52.70,$52.500,$105.40,,,
Trap Essence,Khans of Tarkir,27,Near Mint,Rare,$.050,$0.30,$1.350,$8.10,,,
Trap Runner,Mercadian Masques,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Traumatize,Magic 2014 Core Set,5,Near Mint,Rare,$.100,$1.75,$.500,$8.75,,,
Traveler's Cloak,Invasion,4,Near Mint,Common,$.003,$0.15,$.012,$0.60,,,
Traverse the Ulvenwald,Shadows over Innistrad,7,Near Mint,Rare,$.500,$2.00,$3.500,$14.00,,,
Treacherous Pit-Dweller,Avacyn Restored,30,Near Mint,Rare,$.050,$0.30,$1.500,$9.00,,,
Treasure Hunter,Exodus,1,Near Mint,Uncommon,$.003,$0.15,$.003,$0.15,,,
Treasury Thrull,Gatecrash,49,Near Mint,Rare,$.050,$0.15,$2.450,$7.35,,,
Treefolk Healer,Invasion,2,Near Mint,Uncommon,$.003,$0.15,$.006,$0.30,,,
